annee;metier;Contrat de travail;genre;Recrutement
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;2166
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;594
2012;Manager de proximité;Contractuels;Homme;171
2012;Ingénieurs et cadres;Cadre permanent;Homme;327
2012;Ingénieurs et cadres;Contractuels;Homme;257
2013;Ingénieurs et cadres;Cadre permanent;Homme;293
2013;Conducteurs;Cadre permanent;Homme;208
2014;Agent commercial à bord des trains;Contractuels;Homme;19
2015;Agent commercial à bord des trains;Cadre permanent;Homme;38
2017;Manager de proximité;Cadre permanent;Homme;556
2017;Manager de proximité;Contractuels;Homme;207
2017;Ingénieurs et cadres;Contractuels;Homme;337
2018;Ingénieurs et cadres;Cadre permanent;Homme;256
2019;Manager de proximité;Contractuels;Homme;205
2019;Agent commercial à bord des trains;Cadre permanent;Homme;12
2019;Conducteurs;Cadre permanent;Homme;294
2019;Conducteurs;Contractuels;Homme;168
2020;Manager de proximité;Contractuels;Homme;513
2020;Conducteurs;Contractuels;Homme;349
2021;Agent commercial à bord des trains;Contractuels;Homme;106
2023;Exécution;Contractuels;Homme;4068
2023;Ingénieurs et cadres;Contractuels;Homme;898
2013;Manager de proximité;Cadre permanent;Homme;709
2013;Agent commercial à bord des trains;Cadre permanent;Homme;105
2013;Agent commercial à bord des trains;Contractuels;Homme;45
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;463
2014;Manager de proximité;Cadre permanent;Homme;506
2014;Ingénieurs et cadres;Cadre permanent;Homme;294
2014;Agent commercial à bord des trains;Cadre permanent;Homme;36
2015;Manager de proximité;Cadre permanent;Homme;494
2015;Manager de proximité;Contractuels;Homme;115
2015;Ingénieurs et cadres;Contractuels;Homme;147
2015;Agent commercial à bord des trains;Contractuels;Homme;46
2016;Ingénieurs et cadres;Cadre permanent;Homme;297
2016;Ingénieurs et cadres;Contractuels;Homme;248
2016;Agent commercial à bord des trains;Contractuels;Homme;72
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;513
2018;Conducteurs;Cadre permanent;Homme;372
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;1054
2019;Ingénieurs et cadres;Cadre permanent;Homme;171
2019;Agent commercial à bord des trains;Contractuels;Homme;22
2020;Ingénieurs et cadres;Cadre permanent;Homme;1
2020;Conducteurs;Cadre permanent;Homme;0
2021;Ingénieurs et cadres;Contractuels;Homme;501
2021;Agent commercial à bord des trains;Cadre permanent;Homme;0
2021;Conducteurs;Cadre permanent;Homme;0
2022;Ingénieurs et cadres;Contractuels;Homme;659
2012;Manager de proximité;Cadre permanent;Homme;678
2012;Conducteurs;Contractuels;Homme;89
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;747
2014;Manager de proximité;Contractuels;Homme;124
2014;Ingénieurs et cadres;Contractuels;Homme;270
2015;Ingénieurs et cadres;Cadre permanent;Homme;232
2015;Conducteurs;Cadre permanent;Homme;482
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;2167
2016;Manager de proximité;Contractuels;Homme;232
2016;Agent commercial à bord des trains;Cadre permanent;Homme;27
2016;Conducteurs;Cadre permanent;Homme;566
2017;Conducteurs;Cadre permanent;Homme;547
2018;Manager de proximité;Cadre permanent;Homme;433
2018;Ingénieurs et cadres;Contractuels;Homme;272
2018;Agent commercial à bord des trains;Cadre permanent;Homme;23
2018;Conducteurs;Contractuels;Homme;222
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;608
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;0
2021;Manager de proximité;Cadre permanent;Homme;0
2022;Exécution;Contractuels;Homme;3385
2022;Manager de proximité;Contractuels;Homme;800
2012;Agent commercial à bord des trains;Contractuels;Homme;64
2012;Conducteurs;Cadre permanent;Homme;355
2013;Manager de proximité;Contractuels;Homme;223
2013;Conducteurs;Contractuels;Homme;67
2014;Conducteurs;Cadre permanent;Homme;216
2014;Conducteurs;Contractuels;Homme;82
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;562
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;731
2017;Agent commercial à bord des trains;Cadre permanent;Homme;29
2017;Agent commercial à bord des trains;Contractuels;Homme;75
2017;Conducteurs;Contractuels;Homme;308
2018;Manager de proximité;Contractuels;Homme;213
2019;Manager de proximité;Cadre permanent;Homme;390
2020;Manager de proximité;Cadre permanent;Homme;0
2020;Agent commercial à bord des trains;Cadre permanent;Homme;0
2020;Agent commercial à bord des trains;Contractuels;Homme;0
2021;Manager de proximité;Contractuels;Homme;540
2023;Manager de proximité;Contractuels;Homme;1867
2012;Agent commercial à bord des trains;Cadre permanent;Homme;119
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;2419
2013;Ingénieurs et cadres;Contractuels;Homme;294
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;1758
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;1743
2015;Conducteurs;Contractuels;Homme;167
2016;Manager de proximité;Cadre permanent;Homme;667
2016;Conducteurs;Contractuels;Homme;264
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;1794
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;725
2017;Ingénieurs et cadres;Cadre permanent;Homme;372
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;1244
2018;Agent commercial à bord des trains;Contractuels;Homme;31
2019;Ingénieurs et cadres;Contractuels;Homme;350
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;3
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;1681
2020;Ingénieurs et cadres;Contractuels;Homme;548
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;1802
2021;Ingénieurs et cadres;Cadre permanent;Homme;0
2021;Conducteurs;Contractuels;Homme;257
