mÈtier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;45967;37147;8820;1122;849;273
2013;46467;37221;9246;1277;932;345
2014;46230;37090;9140;795;630;165
2015;45621;36490;9131;765;609;156
2016;45161;36170;8991;1166;899;267
2017;44634;35594;9040;1015;763;252
2018;44329;35373;8956;822;646;176
2019;45639;36053;9586;732;595;137
2020;45265;35798;9467;630;513;117
2021;43647;34668;8979;661;540;121
2022;56147;46749;9398;998;800;198
2023;57979;48309;9670;2230;1867;363
